Number,Name,Text Content,Document,Codes,Number of Codes,Comment,Start position,End position,Creator,Creation Date,Modifier,Modification Date
93:18,Few approaches explicitly consider uncertainty introduced by the system conceptualisation or model s…,"Few approaches explicitly consider uncertainty introduced by the system conceptualisation or model structure. Alterna- tive structures and conceptualisations are unlikely to be exam- ined after an early stage. The reasons include preferences of the developer, compatibility with previous practice or other bodies’ choices, availability of software tools, agency policy, peer pressure and fashion within technical communities, and shortage of time and resources. It is hard to see how this sort of uncertainty can be taken into account beyond remain- ing alert to any compromises and doubts in such choices.",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis,1,,11:2578,11:3184,egould,29/04/2020,egould,29/04/2020
93:19,"model equifinality, recognising that there often is a wide range of models capable of yielding simil…"," model equifinality, recognising that there often is a wide range of models capable of yielding similar predictions. Uncertainty in models (Walker et al., 2003) stems from incom- plete system understanding (which processes to include, which processes interact); from imprecise, finite and often sparse data and measurements; and from uncertainty in the baseline inputs and conditions for model runs, including predicted in- puts. In Van der Sluijs et al. (2005) uncertainties are consid- ered from a non-technical standpoint, to include those associated with problem framing, indeterminacies and value- ladenness. Their procedure is important if these attributes dominate. A diagnostic diagram can be used to synthesize re- sults of quantitative parameter sensitivity analysis and qualita- tive review of parameter strength (so-called pedigree analysis). It is a reflective approach where process is as important as technical assessments.",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis,1,,11:89,11:1027,egould,29/04/2020,egould,29/04/2020
93:20,"Model uncertainty must be considered in the context of the purposes of the model. For example, discr…","Model uncertainty must be considered in the context of the purposes of the model. For example, discrepancies between actual output, model output and observed output may be im- portant for forecasting models, where cost, benefit and risk over a substantial period must be gauged, but much less criti- cal for decision-making or management models where the user may be satisfied with knowing that the predicted ranking order of impacts of alternative scenarios or management options is likely to be correct, with only a rough indication of their sizes.",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis, PRT justification",2,,11:3827,11:4377,egould,29/04/2020,egould,29/04/2020
93:21,The next choice is of how to estimate the parameter values and supply non-parametric variables and/o…,"The next choice is of how to estimate the parameter values and supply non-parametric variables and/or data (e.g. distrib- uted boundary conditions). The parameters may be calibrated all together by optimising the fit of the model outputs to ob- served outputs, or piecemeal by direct measurement or infer- ence from secondary data, or both. Coarse parameter values indicating presence or absence of a factor or the rough timing of a seasonal event, for instance, might be found by eliciting expert opinion",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,3.4-Choose approach for identifying model structure and parameters,1,,9:2137,9:2642,egould,29/04/2020,egould,29/04/2020
93:22,The parameter estimation criteria (hardly ever a single crite- rion) reflect the desired properties…,"The parameter estimation criteria (hardly ever a single crite- rion) reflect the desired properties of the estimates. For example we might seek robustness to outliers (bad data), unbiasedness and statistical efficiency, along with acceptable prediction performance on the data set used for calibration.",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,3.4-Choose approach for identifying model structure and parameters,1,,9:3667,9:3969,egould,29/04/2020,egould,29/04/2020
93:23,3.6. Choice of estimation performance criteria and technique,3.6. Choice of estimation performance criteria and technique,Jakeman-2006-Environmental_Modelling_and_Softw.pdf,3.4-Choose approach for identifying model structure and parameters,1,,9:3606,9:3666,egould,29/04/2020,egould,29/04/2020
93:24,Choice of how model structure and parameter values are to be found,Choice of how model structure and parameter values are to be found,Jakeman-2006-Environmental_Modelling_and_Softw.pdf,3.3-formalise_specify_model: choose how to find structure and parameters,1,,9:909,9:975,egould,29/04/2020,egould,29/04/2020
93:29,"These questions aren’t asked thoroughly enough at the beginning of model projects. That said, the in…","These questions aren’t asked thoroughly enough at the beginning of model projects. That said, the initial answers can easily change as the project develops, especially when managers are involved, emphasiz- ing again the need for iteration",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"3.1-formalise_specify_model: choose model class, framework and approach, PRT justification",2,,8:4654,8:4892,egould,29/04/2020,egould,29/04/2020
93:32,Definition of the purposes for modelling It is a truism that the reasons for modelling should have a…,"Definition of the purposes for modellingIt is a truism that the reasons for modelling should have a large influence on the selecting of a model family or families (see Section 2.5) to represent the system, and on the nature and level of diagnostic checking and model evaluation. However, it is not necessarily easy to be clear about what the purposes are. Different stakeholders will have different degrees of interest in the possible purposes of a single model. For example, a re- source manager is likely to be most concerned with prediction, while a model developer or scientific user may place higher stress on the ability of the model to show what processes dom- inate behaviour of the system. That said, better understanding is valuable for all parties as part of defining the problem and possible solutions, and as a means of assessing how much trustto place in the model. It is important to recognize that some purposes, particularly increased understanding of the system and data, may be realised well even if the final model is poor in many respects. An inaccurate model may still throw light on how an environmental system works.",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"1.1-problem_formulation: define model purpose, PRT justification",2,"Definition of the purposes for modellingIt is a truism that the reasons for modelling should have a large influence on the selecting of a model family or families (see Section 2.5) to represent the system, and on the nature and level of diagnostic checking and model evaluation. However, it is not necessarily easy to be clear about what the purposes are. Different stakeholders will have different degrees of interest in the possible purposes of a single model. For example, a re- source manager is likely to be most concerned with prediction, while a model developer or scientific user may place higher stress on the ability of the model to show what processes dom- inate behaviour of the system. That said, better understanding is valuable for all parties as part of defining the problem and possible solutions, and as a means of assessing how much trustto place in the model. It is important to recognize that some purposes, particularly increased understanding of the system and data, may be realised well even if the final model is poor in many respects. An inaccurate model may still throw light on how an environmental system works. Jakeman, A. J., Letcher, R. A., & Norton, J. P. (2006). Ten iterative steps in development and evaluation of environmental models. Environmental Modelling & Software, 21(5), 602-614. doi:10.1016/j.envsoft.2006.01.004",6:752,6:1894,egould,30/04/2020,egould,30/04/2020
93:33,gaining a better qualitative understanding of the system (by means including social learning by inte…," gaining a better qualitative understanding of the system (by means including social learning by interest groups);􏰀 knowledge elicitation and review;􏰀 data assessment, discovering coverage, limitations, incon-sistencies and gaps;􏰀 concise summarising of data: data reduction;􏰀 providing a focus for discussion of a problem;􏰀 hypothesis generation and testing;􏰀 prediction, both extrapolation from the past and ‘‘what if’’exploration;􏰀 control-system design: monitoring, diagnosis, decision-making and action-taking (in an environmental context,adaptive management);􏰀 short-term forecasting (worth distinguishing from longer-term prediction, as it usually has a much narrower focus); 􏰀 interpolation: estimating variables which cannot be mea-sured directly (state estimation), filling gaps in data;􏰀 providing guidance for management and decision-making",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"1.1-problem_formulation: define model purpose, PRT example, PRT justification",3,,6:1915,6:2792,egould,30/04/2020,egould,30/04/2020
93:34,"These motives are not mutually exclusive, of course, but the modeller has to establish the purposes…","These motives are not mutually exclusive, of course, but the modeller has to establish the purposes and priorities within the",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"1.1-problem_formulation: define model purpose, PRT justification",2,"""list, because of their influence on the choices to be made at later stages.”Jakeman, A. J., Letcher, R. A., & Norton, J. P. (2006). Ten iterative steps in development and evaluation of environmental models. Environmental Modelling & Software, 21(5), 602-614. doi:10.1016/j.envsoft.2006.01.004",6:2794,6:2919,egould,30/04/2020,egould,30/04/2020
93:35,"list, because of their influence on the choices to be made at later stages. For example, economy in…","list, because of their influence on the choices to be made at later stages. For example, economy in the degrees of freedom of a prediction model (‘‘parsimony’’) is important if the model is to register the consistent behaviour observed in the data but not the ephemeral, inconsistent ‘‘noise.’’ Experience confirms that it is often counterproductive to include much detail in a prediction model for a restricted purpose (Jakeman and Hornberger, 1993). Conversely, a model designed to increase insight into the processes which determine the system’s overall behaviour has to be complex enough to mimic those processes, even if only very approximately",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"1.1-problem_formulation: define model purpose, PRT justification",2,"Jakeman, A. J., Letcher, R. A., & Norton, J. P. (2006). Ten iterative steps in development and evaluation of environmental models. Environmental Modelling & Software, 21(5), 602-614. doi:10.1016/j.envsoft.2006.01.004",7:79,7:728,egould,30/04/2020,egould,30/04/2020
93:37,Specification of the modelling context: scope and resources,Specification of the modelling context: scope and resources,Jakeman-2006-Environmental_Modelling_and_Softw.pdf,1.2-problem_formulation: specify modelling context,1,"Jakeman, A. J., Letcher, R. A., & Norton, J. P. (2006). Ten iterative steps in development and evaluation of environmental models. Environmental Modelling & Software, 21(5), 602-614. doi:10.1016/j.envsoft.2006.01.004",7:1897,7:1956,egould,30/04/2020,egould,30/04/2020
93:38,This second step identifies: 􏰀 the specific questions and issues that the model is to address; 􏰀 t…,"This second step identifies:􏰀 the specific questions and issues that the model is to address;􏰀 the interest groups, including the clients or end-users of the model;􏰀 the outputs required;􏰀 the forcing variables (drivers);􏰀 the accuracy expected or hoped for;􏰀 temporal and spatial scope, scale and resolution (but seealso Section 3.3);􏰀 the time frame to complete the model as fixed, for exam-ple, by when it must be ready to help a decision;􏰀 the effort and resources available for modelling and oper-ating the model, and;􏰀 flexibility; for example, can the model be quickly recon-figured to explore a new scenario proposed by a manage- ment group?",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,1.2-problem_formulation: specify modelling context,1,,7:1957,7:2628,egould,30/04/2020,egould,30/04/2020
93:39,"A crucial step here is to decide the extent of the model, i.e. where the boundary of the modelled sy…","A crucial step here is to decide the extent of the model, i.e. where the boundary of the modelled system is. Everything out- side and not crossing the boundary is ignored. Everything crossing the boundary is treated as external forcing (knownor unknown) or as outputs (observed or not). The choice of a boundary is closely tied in with the choice of how far to ag- gregate the behaviour inside it. Classical thermodynamics gives an object lesson in the benefits of choosing the boundary and degree of aggregation well, so as to discover simple rela- tions between a small number of aggregated variables (e.g. en- ergy) crossing the boundary, without having to describe processes inside the boundary in detail",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,1.2-problem_formulation: specify modelling context,1,"Jakeman, A. J., Letcher, R. A., & Norton, J. P. (2006). Ten iterative steps in development and evaluation of environmental models. Environmental Modelling & Software, 21(5), 602-614. doi:10.1016/j.envsoft.2006.01.004",7:2629,7:3338,egould,30/04/2020,egould,30/04/2020
93:40,"In environmental man- agement, deciding on the boundary and degree of aggregation is a critical but…","In environmental man- agement, deciding on the boundary and degree of aggregation is a critical but very difficult step. It can usually only be learnt through trial and error, since managers and stakeholders usu- ally do not initially know the boundaries of what should be modelled.",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"1.2-problem_formulation: specify modelling context, PRT justification",2,,7:3340,7:3622,egould,30/04/2020,egould,30/04/2020
93:41,Conceptualisation refers to basic premises about the work- ing of the system being modelled. It migh…,"Conceptualisation refers to basic premises about the work- ing of the system being modelled. It might employ aids to thinking such as an influence diagram, linguistic model, block diagram or bond graph (Gawthrop and Smith, 1996; Well- stead, 1979), showing how model drivers are linked to internal (state) variables and outputs (observed responses)",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,2.1-define_conceptual_model: choose elicitation and representation method,1,,7:4217,7:4565,egould,30/04/2020,egould,30/04/2020
93:44,"This third step defines the data, prior knowledge and as- sumptions about processes. The procedure i…","This third step defines the data, prior knowledge and as- sumptions about processes. The procedure is mainly qualita- tive to start with, asking what is known of the processes, what records, instrumentation and monitoring are available, and how far they are compatible with the physical and tempo- ral scope dictated by the purposes and objectives. However, it becomes quantitative as soon as we have to decide what to in- clude and what can be simplified or neglected. What variables are to be included, in how much detail? Once the outputs are selected, a rough assessment is needed of which drivers they are sensitive to and what internal processes influence the rela- tions between the drivers and outputs; this will usually be partly a quantitative assessment.",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, PRT justification",2,,7:5165,7:5930,egould,30/04/2020,egould,30/04/2020
93:45,"chosen but, as for all these decisions, the choices may have to be revised as experience grow","chosen but, as for all these decisions, the choices may have to be revised as experience grow",Jakeman-2006-Environmental_Modelling_and_Softw.pdf,"2.6-define_conceptual_model: iterative link, modeling as way of increasing system knowledge, PRT-approach",3,,8:0,8:93,egould,30/04/2020,egould,30/04/2020
94:1,"model analysis’, examining the model’s sensitivity to changes in param- eters and formulation to und…","model analysis’, examining the model’s sensitivity to changes in param- eters and formulation to understand the model’s main behaviours and describing and justifying simulation experiments;",Grimm_et_al_2014.pdf,5.2-model_validation_evaluation: model analysis,1,,5:4781,5:4970,egould,29/04/2020,egould,29/04/2020
94:2,"‘model output corroboration’, comparing model output to data and patterns that were not used for mod…","‘model output corroboration’, comparing model output to data and patterns that were not used for model development and parame- terization",Grimm_et_al_2014.pdf,5.3-model_validation_evaluation: model output corroboration,1,,5:4980,5:5117,egould,29/04/2020,egould,29/04/2020
94:3,"(iv) ‘model output verification’, comparing model output to the data and patterns that guided model…","(iv) ‘model output verification’, comparing model output to the data and patterns that guided model design and calibration;",Grimm_et_al_2014.pdf,4.4-model_calibration_fitting_checking: model checking,1,,5:4652,5:4775,egould,29/04/2020,egould,29/04/2020
94:4,"(iii) ‘implementation verification’, checking the model’s implementation in equations and software"," (iii) ‘implementation verification’, checking the model’s implementation in equations and software",Grimm_et_al_2014.pdf,4.3-model_calibration_fitting_checking: Implementation verification,1,,5:4551,5:4650,egould,29/04/2020,egould,29/04/2020
94:5,"(ii) ‘conceptual model evaluation’, scrutinizing the simplifying assumptions under- lying a model’s…","(ii) ‘conceptual model evaluation’, scrutinizing the simplifying assumptions under- lying a model’s design",Grimm_et_al_2014.pdf,2.5-define_conceptual_model: conceptual model evaluation,1,"Grimm, V., Augusiak, J., Focks, A., Frank, B. M., Gabsi, F., Johnston, A. S. A., . . . Railsback, S. F. (2014). Towards better modelling and decision support: Documenting model development, testing, and analysis using TR",5:4444,5:4550,egould,29/04/2020,egould,29/04/2020
94:6,"(i) ‘data evaluation’, assessing the quality of numerical and qualita- tive data used for model deve…","(i) ‘data evaluation’, assessing the quality of numerical and qualita- tive data used for model development and testing",Grimm_et_al_2014.pdf,2.4-define_conceptual_model: prior knowledge data specification and evaluation,1,"Grimm, V., Augusiak, J., Focks, A., Frank, B. M., Gabsi, F., Johnston, A. S. A., . . . Railsback, S. F. (2014). Towards better modelling and decision support: Documenting model development, testing, and analysis using TR",5:4323,5:4442,egould,29/04/2020,egould,29/04/2020
94:8,Conceptual model evaluation. This element is defined by Augusiak et al. (2014) as “the critical asse…,"Conceptual model evaluation. This element is defined by Augusiak et al. (2014) as “the critical assessment of the simplifying assumptions underlying a model’s design”. The design of any mathematical or simulation model is based on a concep- tual model which reflects our preliminary understanding and perception of the system to be represented in the model. For example, we may focus on nutrients and energy, speciescomposition, or individual organisms",Grimm_et_al_2014.pdf,"2.5-define_conceptual_model: conceptual model evaluation, PRT justification",2,"Grimm, V., Augusiak, J., Focks, A., Frank, B. M., Gabsi, F., Johnston, A. S. A., . . . Railsback, S. F. (2014). Towards better modelling and decision support: Documenting model development, testing, and analysis using TR",8:2339,8:2792,egould,29/04/2020,egould,29/04/2020
94:10,"The evaluation applies to the overall model structure and sometimes to submodels, for example of met…","The evaluation applies to the overall model structure and sometimes to submodels, for example of metabolism, competition among individuals, movement, or the physical environment.",Grimm_et_al_2014.pdf,2.5-define_conceptual_model: conceptual model evaluation,1,"Grimm, V., Augusiak, J., Focks, A., Frank, B. M., Gabsi, F., Johnston, A. S. A., . . . Railsback, S. F. (2014). Towards better modelling and decision support: Documenting model development, testing, and analysis using TR",8:2909,8:3087,egould,29/04/2020,egould,29/04/2020
94:11,"In detail, this evaluation lists and explains the most important conceptual design decisions: spatia…","In detail, this evaluation lists and explains the most important conceptual design decisions: spatial and temporal scales, selec- tion of entities and processes, representation of stochasticity and heterogeneity, consideration of local versus global interac- tions, environmental drivers, etc",Grimm_et_al_2014.pdf,2.2:define_conceptual_model: specify key assumptions uncertainties,1,,8:3088,8:3380,egould,29/04/2020,egould,29/04/2020
94:13,Implementation verification. This term is defined by Augusiak et al. (2014) as “the critical assessm…,Implementation verification. This term is defined by Augusiak et al. (2014) as “the critical assessment of (1) whether the com- puter code for implementing the model has been thoroughly tested for programming errors and (2) whether the implemented model performs as indicated by the model description”. ,Grimm_et_al_2014.pdf,4.3-model_calibration_fitting_checking: Implementation verification,1,,8:4142,8:4445,egould,29/04/2020,egould,29/04/2020
94:14,"For instance, implementation verification might be conducted by peer-reviewing the code, i.e., other…","For instance, implementation verification might be conducted by peer-reviewing the code, i.e., other scientists thoroughly com- paring it with the written formulation of the model, or by independently implementing submodels. This TRACE element provides evidence that the model software has been thoroughly tested and accurately implements the model description.",Grimm_et_al_2014.pdf,4.3-model_calibration_fitting_checking: Implementation verification,1,,8:4445,8:4806,egould,29/04/2020,egould,29/04/2020
94:15,Model output verification. Augusiak et al. (2014) define this ele- ment as “the critical assessment…,Model output verification. Augusiak et al. (2014) define this ele-ment as “the critical assessment of (1) how well model output matches observations and (2) how much calibration and effects of environmental drivers were involved in obtaining good fits of model output and data”,Grimm_et_al_2014.pdf,5.1-model_validation_evaluation: model output verification,1,,9:101,9:379,egould,29/04/2020,egould,29/04/2020
94:16,"In developing any model, we try to make it reproduce some features or patterns of the real system be…","In developing any model, we try to make it reproduce some features or patterns of the real system before claiming that it is a good enough representation.",Grimm_et_al_2014.pdf,5.1-model_validation_evaluation: model output verification,1,,9:381,9:535,egould,29/04/2020,egould,29/04/2020
94:17,we list the features we used plus the quantitative crite- ria for deciding whether a certain observa…,we list the features we used plus the quantitative crite- ria for deciding whether a certain observation was matched by the model. ,Grimm_et_al_2014.pdf,5.1-model_validation_evaluation: model output verification,1,,9:559,9:690,egould,29/04/2020,egould,29/04/2020
94:18,Output verification involves what often is referred to as ‘face validation’ and more formal tests. F…,"Output verification involves what often is referred to as ‘face validation’ and more formal tests. Face validation can be defined as: “All methods that rely on natural human intelligence” (Klügl, 2008, p. 39). Examples listed by Klügl (2008) include: “Structured walk-throughs, expert assessments of descriptions, animations of results”. Klügl (2008) accordingly concludes that face validity shows that a model’s processes and outcomes are reasonable and plausible within its theoretical basis and the knowledge of system experts or stakeholders. It should be noted, however, that system experts and stakeholders may disagree on the type of data and knowledge they have. Therefore more formal tests are required that are based on multiple quantitative criteria for a model matching data (e.g., Railsback and Grimm, 2012, Chapter 20.4.2).",Grimm_et_al_2014.pdf,5.1-model_validation_evaluation: model output verification,1,,9:1114,9:1954,egould,29/04/2020,egould,29/04/2020
94:19,Evaluation of output verification needs to consider such concerns as over-fitting and extrapolation.…,"Evaluation of output verification needs to consider such concerns as over-fitting and extrapolation. The higher the pro- portion of calibrated, guesstimated, or uncertain parameters (see TRACE element ‘Model analysis’ below), the higher the risk that the model seems to work correctly (e.g., because it fits calibration data well) but for the wrong reasons, i.e., has not captured the mechanisms of the real system.",Grimm_et_al_2014.pdf,4.3-model_calibration_fitting_checking: Implementation verification,1,,9:1955,9:2370,egould,29/04/2020,egould,29/04/2020
94:20,"Model developers naturally often claim that their models are realistic enough for their purpose, but…","Model developers naturally often claim that their models are realistic enough for their purpose, but in this TRACE element they should summarize why they believe so, with suppor- ting evidence. This information enables users to scrutinize the modeller’s claim and to critically assess how well model output matches observations, the degree to which the match results from calibration and environmental drivers, and how much themodel’s reliability is limited by use of empirical parameters thatreflect only a narrow range of conditions.",Grimm_et_al_2014.pdf,"5.1-model_validation_evaluation: model output verification, PRT justification",2,,9:3597,9:4134,egould,29/04/2020,egould,29/04/2020
94:21,Model analysis. This element is defined by Augusiak et al. (2014) as “the assessment of (1) how sens…,"Model analysis. This element is defined by Augusiak et al. (2014)as “the assessment of (1) how sensitive model output is to changes in model parameters (sensitivity analysis), and (2) how well the emergence of model output has been understood”",Grimm_et_al_2014.pdf,"5.2-model_validation_evaluation: model analysis, 5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis",2,,9:4138,9:4382,egould,29/04/2020,egould,29/04/2020
94:22,The purpose of the element is to prevent blind trust in the model output by asking “How did this out…,"The purpose of the element is to prevent blind trust in the model output by asking “How did this output emerge?”, and to chal- lenge the model, which might look impressive, by asking “Does verification still look good if I change one or more parameters a bit?”",Grimm_et_al_2014.pdf,"5.2-model_validation_evaluation: model analysis, PRT justification",2,,9:4384,9:4644,egould,29/04/2020,egould,29/04/2020
94:23,"Thus, foremost here we document how we made sure that we understood a model’s main mechanisms. For e…","Thus, foremost here we document how we made sure that we understood a model’s main mechanisms. For example, if recov- ery after disturbance is strongly affected by a certain parameter and, thus, the processes the parameter represents, we should be able to explain why this parameter was so important. We can learn much about a model by performing controlled simulation experiments: keeping most parameters constant and varying one or a few over a wider range, and exploring the effect on one or more output variables. Simulation experiments should also include simplified model versions, in which the environ- ment is made more homogenous and constant, system size is reduced, and certain processes are deactivated. Initial conditions and input data are other model components to which sensitivity should be analyzed.",Grimm_et_al_2014.pdf,5.2-model_validation_evaluation: model analysis,1,,9:4645,9:5462,egould,29/04/2020,egould,29/04/2020
94:24,"TRACE should not include details on all these experiments, but give an overview of what kind of expe…","TRACE should not include details on all these experiments, but give an overview of what kind of experiments were per- formed and present results from experiments that significantly increased understanding but could not be included in the paper or report.",Grimm_et_al_2014.pdf,5.2-model_validation_evaluation: model analysis,1,,9:5463,9:5717,egould,29/04/2020,egould,29/04/2020
94:25,Local sensitivity analysis is important for developing a first understanding of a model by evaluatin…,"Local sensitivity analysis is important for developing a first understanding of a model by evaluating how sensitive output is to small changes in one parameter at a time. The analysis can produce conclusions about model uncertainty: if the parameters to which the model is most sensitive are the most uncertain ones, the entire model will be quite uncertain. Moreover, such param- eters indicate which processes are most important for certain model outputs",Grimm_et_al_2014.pdf,5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis,1,,9:5718,9:6174,egould,29/04/2020,egould,29/04/2020
94:26,Uncertainty analysis can augment sensitivity analysis by demonstrating how uncertainty in model para…,Uncertainty analysis can augment sensitivity analysis by demonstrating how uncertainty in model parameters translates into uncertainty in model output.,Grimm_et_al_2014.pdf,5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis,1,,9:6725,9:6876,egould,29/04/2020,egould,29/04/2020
94:27,Parameters often represent entire processes that the modeller chose not to represent explicitly. Sub…,"Parameters often represent entire processes that the modeller chose not to represent explicitly. Submodels represent processes that are represented explicitly in more detail; therefore, sensi- tivity analysis should also be applied to important submodels by contrasting alternative submodels",Grimm_et_al_2014.pdf,5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis,1,"At what level (parameter, submodel, global etc) will you perform the analyses. Describe the analysis for each level.",9:6877,9:7168,egould,29/04/2020,egould,29/04/2020
94:28,"For example, a submodel describing movement might be based on complex decision mak- ing, but contras…","For example, a submodel describing movement might be based on complex decision mak- ing, but contrasting this submodel with simpler, or even more complex, alternatives can provide insights into how important or useful it was to choose this very model design. This sensi- tivity analysis of submodels corresponds to what Railsback and Grimm (2012) refer to as ‘pattern-oriented theory development’: which submodel best causes the full model to reproduce a set of observed patterns?",Grimm_et_al_2014.pdf,5.7-model_validation_evaluation: sensitivity analysis and uncertainty analysis,1,Links to what CH described about different components or part of a model.,9:7170,9:7650,egould,29/04/2020,egould,29/04/2020
94:29,"Model users learn from this TRACE element how the model works, i.e., which processes and process int…","Model users learn from this TRACE element how the model works, i.e., which processes and process interactions are impor- tant and explain major behaviours of the model system.",Grimm_et_al_2014.pdf,"5.2-model_validation_evaluation: model analysis, PRT justification",2,,9:7651,9:7826,egould,29/04/2020,egould,29/04/2020
94:30,Model output corroboration. This term is defined by Augusiak et al. (2014) as the “comparison of mod…,"Model output corroboration. This term is defined by Augusiak et al. (2014) as the “comparison of model predictions with inde- pendent data and patterns that were not used, and preferably not even known, while the model was developed, parameter- ized, and verified”",Grimm_et_al_2014.pdf,5.3-model_validation_evaluation: model output corroboration,1,,10:181,10:445,egould,29/04/2020,egould,29/04/2020
94:31,"Most scientists, in particular non-modelers, require this analysis, calling it ‘validation’: for a m…","Most scientists, in particular non-modelers, require this analysis, calling it ‘validation’: for a model to be trusted it should make predictions that are subsequently con- firmed in empirical experiments. Indeed, we consider this the ‘gold standard’ for demonstrating that a model has captured the internal organization of a system sufficiently well. Corroborationis discussed in more depth by Augusiak et al. (2014).",Grimm_et_al_2014.pdf,5.3-model_validation_evaluation: model output corroboration,1,,10:447,10:866,egould,29/04/2020,egould,29/04/2020
94:32,"Model output verification always includes ‘tweaking’, i.e., we try to make a model reproduce certain…","Model output verification always includes ‘tweaking’, i.e., we try to make a model reproduce certain observations by tuning parameters, environmental settings, and submodel formulation. Such adjustments are often necessary to compensate for pro- cesses not included in a model (due to insufficient information or to keep the model simple) but were important in the real sys- tem when the verification data were collected. Making a model simultaneously reproduce multiple observed patterns reduces the risk that the model is completely unrealistic, but does not eliminate this risk. Only when a model predicts phenomena that we even did not think about during model development and test- ing do we have the strongest indicator of its structural realism,because no tweaking could have been involved.",Grimm_et_al_2014.pdf,"5.1-model_validation_evaluation: model output verification, PRT justification",2,,10:867,10:1665,egould,29/04/2020,egould,29/04/2020
94:33,"However, achieving this standard is rarely possible with ecological systems because the empirical ex…","However, achieving this standard is rarely possible withecological systems because the empirical experiments are infeasible: we often build models to address questions such as response to climate change exactly because empirical experi- ments are impossible. Instead, we can directly test independent predictions of submodels. At the system level, we can identify characteristic patterns in model output that are robust and seem characteristic. Then, we can consult the literature or experts to find out how accurate these independent predictions are.",Grimm_et_al_2014.pdf,5.1-model_validation_evaluation: model output verification,1,Qualitative or empirical tests that we can implement in place of being able to test on independent data.,10:1666,10:2218,egould,29/04/2020,egould,29/04/2020
94:34,"Documenting model output corroboration provides model users evidence, in addition to model output ve…","Documenting model output corroboration provides model users evidence, in addition to model output verification, indi- cating the extent to which the model is structurally realistic so that its predictions can be trusted. The model’s purpose should be a primary consideration in determining what model results need corroboration and how quantitatively and closely model results need to reproduce observations. If no corroboration was possible, the modeller should discuss here why, and why and to what degree the model still can be trusted.",Grimm_et_al_2014.pdf,"5.3-model_validation_evaluation: model output corroboration, PRT justification",2,,10:2219,10:2758,egould,29/04/2020,egould,29/04/2020
94:35,Concise text plus tables should summarize what data and knowledge went into the design and parameter…,"Concise text plus tables should summarize what data and knowledge went into the design and parameterization of the model, including references, data sources, and information about where and when those data were collected, and by whom.",Grimm_et_al_2014.pdf,2.4-define_conceptual_model: prior knowledge data specification and evaluation,1,"Grimm, V., Augusiak, J., Focks, A., Frank, B. M., Gabsi, F., Johnston, A. S. A., . . . Railsback, S. F. (2014). Towards better modelling and decision support: Documenting model development, testing, and analysis using TRACe",8:1095,8:1329,egould,29/04/2020,egould,29/04/2020
94:36,"f pos- sible, the reliability of the data used should be discussed, as data quality and ecological s…","f pos- sible, the reliability of the data used should be discussed, as data quality and ecological significance might be limited by measure- ment errors, inappropriate experimental design (e.g., number of replicates), and, in particular, the heterogeneity and variabil- ity inherent to environmental systems (Gass, 1983; Wang and Luttik, 2012). Likewise, expert knowledge and the detection of patterns are prone to bias and therefore must be treated with particular caution.",Grimm_et_al_2014.pdf,"2.4-define_conceptual_model: prior knowledge data specification and evaluation, PRT justification",2,"Grimm, V., Augusiak, J., Focks, A., Frank, B. M., Gabsi, F., Johnston, A. S. A., . . . Railsback, S. F. (2014). Towards better modelling and decision support: Documenting model development, testing, and analysis using TR",8:1331,8:1805,egould,29/04/2020,egould,29/04/2020
94:37,The document should indicate which parame- ter values were used directly without calibration and whi…,"The document should indicate which parame- ter values were used directly without calibration and which were determined inversely; the methods used for inverse parameter- ization will be described in the TRACE element, “Model output verification”.",Grimm_et_al_2014.pdf,3.4-Choose approach for identifying model structure and parameters,1,,8:1806,8:2052,egould,29/04/2020,egould,29/04/2020
